"Species_code","Scientific_name","Pref_com_name","Other_com_name","Pref_com_is","Sort_order","TSN","Accepted_TSN","Category","Family","Taxon_type","Taxon_is_active","Refers_to_code","Project_taxon_notes","Taxon_notes","<>","LEWI","MORA","NOCA","OLYM","SAJH"
"UNHA","Accipitridae","Unidentified hawk","Hawks, eagles, kites","Different",873,175280,,"Bird","Accipitridae","Generic",1,,,,,,,,,
"UNHU","Trochilidae","Unidentified hummingbird","Hummingbirds","Different",432,178028,,"Bird","Trochilidae","Generic",1,,,,,,,,,
"UNLG","Larus","Unidentified gull","Gulls and kittiwakes","Different",635,176803,,"Bird","Laridae","Generic",1,,"Corrected code from UNGU to UNLG",,,,,,,
"UNOW","Strigidae","Unidentified owl","Typical owls","Different",920,177854,,"Bird","Strigidae","Generic",1,,,,,,,,,
"UNSA","Sphyrapicus","Unidentified sapsucker","Sapsuckers","Different",1007,178201,,"Bird","Picidae","Generic",1,,,,,,,,,
"UNSP","Emberizidae","Unidentified sparrow","Emberizid finches","Different",1974,178838,,"Bird","Emberizidae","Generic",1,,,,,,,,,
"UNTH","Turdidae","Unidentified thrush","Unidentified thrush","Same",1688,179751,,"Bird","Turdidae","Generic",1,,,,,,,,,
"UNWA","Parulidae","Unidentified warbler","Unidentified warbler","Same",2145,178842,,"Bird","Parulidae","Generic",1,,,,,,,,,
"UNWO","Picinae","Unidentified woodpecker","Woodpeckers","Different",1043,553479,,"Bird","Picidae","Generic",1,,"Mar 2017: Updated Sci_name and TSN from Picidae to reflect specificity in usage (woodpeckers only)",,,,,,,
"UNWR","Troglodytidae","Unidentified wren","Wrens","Different",1572,178539,,"Bird","Troglodytidae","Generic",1,,,,,,,,,
"UPCH","Poecile","Unidentified chickadee","Unidentified chickadee","Same",1508,553526,,"Bird","Paridae","Generic",1,,,,,,,,,
"USWA","Hirundininae","Unidentified swallow","Swallows","Different",1500,,,"Bird","Hirundinidae","Generic",1,,"Mar 2017: Updated Sci_name and TSN from Hirundinidae",,,,,,,
"USWI","Apodidae","Unidentified swift","Swifts","Different",306,177995,,"Bird","Apodidae","Grouped",1,,"Mar 2017: Updated Sci_name and TSN from Apodiformes to reflect usage specificity (swifts only)",,,,,,,
