"Species_code","Scientific_name","Pref_com_name","Other_com_name","Pref_com_is","Sort_order","TSN","Accepted_TSN","Category","Family","Taxon_type","Taxon_is_active","Refers_to_code","Project_taxon_notes","Taxon_notes","<>","LEWI","MORA","NOCA","OLYM","SAJH"
"COYE","Geothlypis trichas","Common Yellowthroat","Common Yellowthroat","Same",2084,178944,,"Bird","Fringillidae","Specific",1,,,,,1,1,1,1,1
"DCCO","Phalacrocorax auritus","Double-crested Cormorant","Double-crested Cormorant","Same",761,174717,,"Bird","Phalacrocoracidae","Specific",1,,,,,1,1,1,1,1
"DEJU","Junco hyemalis","Dark-eyed Junco","Dark-eyed Junco","Same",1910,179410,,"Bird","Fringillidae","Specific",1,,,,,1,1,1,1,1
"DOWO","Picoides pubescens","Downy Woodpecker","Downy Woodpecker","Same",1012,178259,,"Bird","Picidae","Specific",1,,,,,1,1,1,1,1
"DUFL","Empidonax oberholseri","Dusky Flycatcher","Dusky Flycatcher","Same",1368,178346,,"Bird","Tyrannidae","Specific",1,,,,,1,1,1,1,1
"DUNL","Calidris alpina","Dunlin","Dunlin","Same",532,176661,,"Bird","Scolopacidae","Specific",1,,,,,1,1,1,1,1
"EAKI","Tyrannus tyrannus","Eastern Kingbird","Eastern Kingbird","Same",1333,178279,178279,"Bird","Tyrannidae","Specific",1,,,,,,,1,,1
"EUCD","Streptopelia decaocto","Eurasian Collared-dove","Eurasian Collared-dove","Same",192,177139,177139,"Bird","Columbidae","Specific",1,,,,,1,,1,1,1
"EUST","Sturnus vulgaris","European Starling","European Starling","Same",1714,179637,,"Bird","Sturnidae","Specific",1,,,,,1,1,1,1,1
"EVGR","Coccothraustes vespertinus","Evening Grosbeak","Evening Grosbeak","Same",1780,179173,,"Bird","Fringillidae","Specific",1,,,,,1,1,1,1,1
"FFSH","Ardenna carneipes","Flesh-footed Shearwater","Flesh-footed Shearwater","Same",736,,,"Bird","Procellariidae","Specific",1,,"Mar 2017: Updated Sci_name and TSN to reflect name change (TSN was 174548), taxon definition consistent",,,1,1,1,1,1
"FOSP","Passerella iliaca","Fox Sparrow","Fox Sparrow","Same",1906,179464,,"Bird","Fringillidae","Specific",1,,,,,1,1,1,1,1
"FOTE","Sterna forsteri","Forster’s Tern","Forster’s Tern","Same",657,176887,,"Bird","Laridae","Specific",1,,,,,1,1,1,1,1
"FRGU","Leucophaeus pipixcan","Franklin's Gull","Franklin's Gull","Same",613,176838,,"Bird","Laridae","Specific",1,,,,,,,,1,
"FTSP","Oceanodroma furcata","Fork-tailed Storm-Petrel","Fork-tailed Storm-Petrel","Same",688,174625,,"Bird","Procellariidae","Specific",1,,,,,1,1,1,1,1
"GADW","Anas strepera","Gadwall","Gadwall","Same",61,175073,,"Bird","Anatidae","Specific",1,,,,,1,1,1,1,1
"GBHE","Ardea herodias","Great Blue Heron","Great Blue Heron","Same",776,174773,,"Bird","Ardeidae","Specific",1,,,,,1,1,1,1,1
"GCKI","Regulus satrapa","Golden-crowned Kinglet","Golden-crowned Kinglet","Same",1587,179865,,"Bird","Regulidae","Specific",1,,,,,1,1,1,1,1
"GCRF","Leucosticte tephrocotis","Gray-crowned Rosy-Finch","Gray-crowned Rosy-Finch","Same",1826,179215,,"Bird","Fringillidae","Specific",1,,,,,1,1,1,1,1
"GCSP","Zonotrichia atricapilla","Golden-crowned Sparrow","Golden-crowned Sparrow","Same",1927,179461,,"Bird","Fringillidae","Specific",1,,,,,1,1,1,1,1
"GGOW","Strix nebulosa","Great Gray Owl","Great Gray Owl","Same",910,177929,,"Bird","Strigidae","Specific",1,,,,,1,1,1,1,1
"GHOW","Bubo virginianus","Great Horned Owl","Great Horned Owl","Same",892,177884,,"Bird","Strigidae","Specific",1,,,,,1,1,1,1,1
"GOEA","Aquila chrysaetos","Golden Eagle","Golden Eagle","Same",821,175407,,"Bird","Accipitridae","Specific",1,,,,,1,1,1,1,1
"GRCA","Dumetella carolinensis","Gray Catbird","Gray Catbird","Same",1693,178625,,"Bird","Sturnidae","Specific",1,,,,,1,1,1,1,1
"GREG","Ardea alba","Great Egret","Great Egret","Same",781,554135,,"Bird","Ardeidae","Specific",1,,,,,1,1,1,1,1
"GRHE","Butorides virescens","Green Heron","Green Heron","Same",793,174793,,"Bird","Ardeidae","Specific",1,,,,,1,1,1,1,1
"GRSC","Aythya marila","Greater Scaup","Greater Scaup","Same",83,175130,,"Bird","Anatidae","Specific",1,,,,,1,1,1,1,1
"GRYE","Tringa melanoleuca","Greater Yellowlegs","Greater Yellowlegs","Same",564,176619,,"Bird","Scolopacidae","Specific",1,,,,,1,1,1,1,1
"GWFG","Anser albifrons","Greater White-fronted Goose","Greater White-fronted Goose","Same",23,175020,175020,"Bird","Anatidae","Specific",1,,,,,1,1,1,1,1
"GWGU","Larus glaucescens","Glaucous-winged Gull","Glaucous-winged Gull","Same",631,176814,,"Bird","Laridae","Specific",1,,,,,1,1,1,1,1
"GWTE","Anas crecca","Green-winged Teal","Green-winged Teal","Same",75,175081,,"Bird","Anatidae","Specific",1,,,,,1,1,1,1,1
"HADU","Histrionicus histrionicus","Harlequin Duck","Harlequin Duck","Same",89,175149,,"Bird","Anatidae","Specific",1,,,,,1,1,1,1,1
"HAFL","Empidonax hammondii","Hammond's Flycatcher","Hammond's Flycatcher","Same",1365,554254,,"Bird","Tyrannidae","Specific",1,,,,,1,1,1,1,1
"HAWO","Picoides villosus","Hairy Woodpecker","Hairy Woodpecker","Same",1016,178262,,"Bird","Picidae","Specific",1,,,,,1,1,1,1,1
"HEEG","Larus heermanni","Heermann’s Gull","Heermann’s Gull","Same",616,176841,,"Bird","Laridae","Specific",1,,,,,1,1,1,1,1
"HETH","Catharus guttatus","Hermit Thrush","Hermit Thrush","Same",1661,179779,,"Bird","Muscicapidae","Specific",1,,,,,1,1,1,1,1
"HEWA","Setophaga occidentalis","Hermit Warbler","Hermit Warbler","Same",2125,178902,,"Bird","Fringillidae","Specific",1,,,,,1,1,1,1,1
"HOFI","Haemorhous mexicanus","House Finch","House Finch","Same",1829,997805,,"Bird","Fringillidae","Specific",1,,"Genus changed from Carpodacus, definition of taxon consistent",,,1,1,1,1,1
"HOGR","Podiceps auritus","Horned Grebe","Horned Grebe","Same",170,174482,,"Bird","Podicipedidae","Specific",1,,,,,1,1,1,1,1
"HOLA","Eremophila alpestris","Horned Lark","Horned Lark","Same",1476,554256,,"Bird","Alaudidae","Specific",1,,,,,1,1,1,1,1
"HOME","Lophodytes cucullatus","Hooded Merganser","Hooded Merganser","Same",102,175183,,"Bird","Anatidae","Specific",1,,,,,1,1,1,1,1
"HOPU","Fratercula corniculata","Horned Puffin","Horned Puffin","Same",599,177029,,"Bird","Laridae","Specific",1,,,,,1,1,1,1,1
"HOSP","Passer domesticus","House Sparrow","House Sparrow","Same",1747,179628,,"Bird","Passeridae","Specific",1,,,,,1,1,1,1,1
"HOWR","Troglodytes aedon","House Wren","House Wren","Same",1528,178541,,"Bird","Certhiidae","Specific",1,,,,,1,1,1,1,1
"HUVI","Vireo huttoni","Hutton’s Vireo","Hutton’s Vireo","Same",1413,178997,,"Bird","Vireonidae","Specific",1,,,,,1,1,1,1,1
"KILL","Charadrius vociferus","Killdeer","Killdeer","Same",490,176520,,"Bird","Charadriidae","Specific",1,,,,,1,1,1,1,1
"LASP","Chondestes grammacus","Lark Sparrow","Lark Sparrow","Same",1892,179371,179371,"Bird",,"Specific",1,,,,,1,1,1,1,1
"LAZB","Passerina amoena","Lazuli Bunting","Lazuli Bunting","Same",2176,179151,,"Bird","Fringillidae","Specific",1,,,,,1,1,1,1,1
"LBCU","Numenius americanus","Long-billed Curlew","Long-billed Curlew","Same",509,176593,,"Bird","Scolopacidae","Specific",1,,,,,1,1,1,1,1
"LBDO","Limnodromus scolopaceus","Long-billed Dowitcher","Long-billed Dowitcher","Same",544,176679,,"Bird","Scolopacidae","Specific",1,,,,,1,1,1,1,1
"LEFL","Empidonax minimus","Least Flycatcher","Least Flycatcher","Same",1364,178344,,"Bird","Tyrannidae","Specific",1,,,,,1,1,1,1,1
"LEOW","Asio otus","Long-eared Owl","Long-eared Owl","Same",911,177932,,"Bird","Strigidae","Specific",1,,,,,1,1,1,1,1
"LESA","Calidris minutilla","Least Sandpiper","Least Sandpiper","Same",537,176656,,"Bird","Scolopacidae","Specific",1,,,,,1,1,1,1,1
"LESC","Aythya affinis","Lesser Scaup","Lesser Scaup","Same",84,175134,,"Bird","Anatidae","Specific",1,,,,,1,1,1,1,1
"LESP","Oceanodroma leucorhoa","Leach’s Storm-Petrel","Leach’s Storm-Petrel","Same",691,174628,,"Bird","Procellariidae","Specific",1,,,,,1,1,1,1,1
"LEWO","Melanerpes lewis","Lewis’s Woodpecker","Lewis’s Woodpecker","Same",984,178196,,"Bird","Picidae","Specific",1,,,,,1,1,1,1,1
"LEYE","Tringa flavipes","Lesser Yellowlegs","Lesser Yellowlegs","Same",560,176620,,"Bird","Scolopacidae","Specific",1,,,,,1,1,1,1,1
"LISP","Melospiza lincolnii","Lincoln’s Sparrow","Lincoln’s Sparrow","Same",1950,179484,,"Bird","Fringillidae","Specific",1,,,,,1,1,1,1,1
"LTDU","Clangula hyemalis","Long-tailed Duck","Long-tailed Duck","Same",97,175147,,"Bird","Anatidae","Specific",1,,,,,1,1,1,1,1
"MAGO","Limosa fedoa","Marbled Godwit","Marbled Godwit","Same",516,176686,,"Bird","Scolopacidae","Specific",1,,,,,1,1,1,1,1
"MALL","Anas platyrhynchos","Mallard","Mallard","Same",68,175063,,"Bird","Anatidae","Specific",1,,,,,1,1,1,1,1
"MAMU","Brachyramphus marmoratus","Marbled Murrelet","Marbled Murrelet","Same",586,176996,,"Bird","Laridae","Specific",1,,,,,1,1,1,1,1
"MAWR","Cistothorus palustris","Marsh Wren","Marsh Wren","Same",1538,178608,,"Bird","Certhiidae","Specific",1,,,,,1,1,1,1,1
"MEGU","Larus canus","Mew Gull","Mew Gull","Same",617,176832,,"Bird","Laridae","Specific",1,,,,,1,1,1,1,1
"MERL","Falco columbarius","Merlin","Merlin","Same",1055,175613,,"Bird","Falconidae","Specific",1,,,,,1,1,1,1,1
"MGWA","Geothlypis tolmiei","MacGillivray’s Warbler","MacGillivray’s Warbler","Same",2076,950023,,"Bird","Fringillidae","Specific",1,,"Mar 2017: Updated Sci_name and TSN to reflect name change (TSN was 178940), taxon definition consistent",,,1,1,1,1,1
"MOBL","Sialia currucoides","Mountain Bluebird","Mountain Bluebird","Same",1635,179811,,"Bird","Muscicapidae","Specific",1,,,,,1,1,1,1,1
"MOCH","Poecile gambeli","Mountain Chickadee","Mountain Chickadee","Same",1503,554385,,"Bird","Paridae","Specific",1,,,,,1,1,1,1,1
"MODO","Zenaida macroura","Mourning Dove","Mourning Dove","Same",225,177125,,"Bird","Columbidae","Specific",1,,,,,1,1,1,1,1
"MOUQ","Oreortyx pictus","Mountain Quail","Mountain Quail","Same",121,175893,,"Bird","Odontophoridae","Specific",1,,,,,1,1,1,1,1
"NAWA","Oreothlypis ruficapilla","Nashville Warbler","Nashville Warbler","Same",2071,,,"Bird","Fringillidae","Specific",1,,"Mar 2017: Updated Sci_name and TSN to reflect name change (TSN was 178861), taxon definition consistent",,,1,1,1,1,1
"NOCR","Corvus caurinus","Northwestern Crow","Northwestern Crow","Same",1459,179736,,"Bird","Corvidae","Specific",1,,,,,1,1,1,1,1
"NOFL","Colaptes auratus","Northern Flicker","Northern Flicker","Same",1028,178154,,"Bird","Picidae","Specific",1,,,,,1,1,1,1,1
"NOFU","Fulmarus glacialis","Northern Fulmar","Northern Fulmar","Same",702,174536,,"Bird","Procellariidae","Specific",1,,,,,1,1,1,1,1
"NOGO","Accipiter gentilis","Northern Goshawk","Northern Goshawk","Same",836,175300,,"Bird","Accipitridae","Specific",1,,,,,1,1,1,1,1
"NOHA","Circus cyaneus","Northern Harrier","Northern Harrier","Same",826,175430,,"Bird","Accipitridae","Specific",1,,,,,1,1,1,1,1
"NOMO","Mimus polyglottos","Northern Mockingbird","Northern Mockingbird","Same",1713,178620,,"Bird","Sturnidae","Specific",1,,,,,1,1,1,1,1
"NONE","none","No taxon observed",,"Same",2263,,,"Unspecified",,"Unknown",1,,,,,,,,,
"NOPI","Anas acuta","Northern Pintail","Northern Pintail","Same",74,175074,,"Bird","Anatidae","Specific",1,,,,,,,1,,
"NOPO","Glaucidium gnoma","Northern Pygmy-Owl","Northern Pygmy-Owl","Same",895,177902,,"Bird","Strigidae","Specific",1,,,,,1,1,1,1,1
"NRWS","Stelgidopteryx serripennis","Northern Rough-winged Swallow","Northern Rough-winged Swallow","Same",1486,178443,,"Bird","Hirundinidae","Specific",1,,,,,1,1,1,1,1
"NSHO","Anas clypeata","Northern Shoveler","Northern Shoveler","Same",60,175096,,"Bird","Anatidae","Specific",1,,,,,1,1,1,1,1
"NSWO","Aegolius acadicus","Northern Saw-whet Owl","Northern Saw-whet Owl","Same",917,177942,,"Bird","Strigidae","Specific",1,,,,,1,1,1,1,1
"OCWA","Oreothlypis celata","Orange-crowned Warbler","Orange-crowned Warbler","Same",2068,,,"Bird","Fringillidae","Specific",1,,"Mar 2017: Updated Sci_name and TSN to reflect name change (TSN was 178856), taxon definition consistent",,,1,1,1,1,1
"OSFL","Contopus cooperi","Olive-sided Flycatcher","Olive-sided Flycatcher","Same",1346,554221,,"Bird","Tyrannidae","Specific",1,,,,,1,1,1,1,1
"OSPR","Pandion haliaetus","Osprey","Osprey","Same",813,175590,,"Bird","Accipitridae","Specific",1,,,,,1,1,1,1,1
"PALO","Gavia pacifica","Pacific Loon","Pacific Loon","Same",669,174475,,"Bird","Gaviidae","Specific",1,,,,,1,1,1,1,1
"PAWR","Troglodytes pacificus","Pacific Wren","Pacific Wren","Same",1534,916804,,"Bird","Certhiidae","Specific",1,,,,,1,1,1,1,1
"PBGR","Podilymbus podiceps","Pied-billed Grebe","Pied-billed Grebe","Same",168,174505,,"Bird","Podicipedidae","Specific",1,,,,,1,1,1,1,1
"PECO","Phalacrocorax pelagicus","Pelagic Cormorant","Pelagic Cormorant","Same",764,174725,,"Bird","Phalacrocoracidae","Specific",1,,,,,1,1,1,1,1
"PEFA","Falco peregrinus","Peregrine Falcon","Peregrine Falcon","Same",1061,175604,,"Bird","Falconidae","Specific",1,,,,,1,1,1,1,1
"PESA","Calidris melanotos","Pectoral Sandpiper","Pectoral Sandpiper","Same",540,176653,,"Bird","Scolopacidae","Specific",1,,,,,1,1,1,1,1
"PFSH","Ardenna creatopus","Pink-footed Shearwater","Pink-footed Shearwater","Same",735,,,"Bird","Procellariidae","Specific",1,,"Mar 2017: Updated Sci_name and TSN to reflect name change (TSN was 174547), taxon definition consistent",,,1,1,1,1,1
"PIGR","Pinicola enucleator","Pine Grosbeak","Pine Grosbeak","Same",1823,179205,,"Bird","Fringillidae","Specific",1,,,,,1,1,1,1,1
"PIGU","Cepphus columba","Pigeon Guillemot","Pigeon Guillemot","Same",584,176991,,"Bird","Laridae","Specific",1,,,,,1,1,1,1,1
"PISI","Spinus pinus","Pine Siskin","Pine Siskin","Same",1845,179246,,"Bird","Fringillidae","Specific",1,,"Mar 2017: Updated Sci_name and TSN to reflect name change (TSN was 179233), taxon definition consistent",,,1,1,1,1,1
"PIWO","Dryocopus pileatus","Pileated Woodpecker","Pileated Woodpecker","Same",1037,178166,,"Bird","Picidae","Specific",1,,,,,1,1,1,1,1
"PRFA","Falco mexicanus","Prairie Falcon","Prairie Falcon","Same",1062,175603,175603,"Bird","Falconidae","Specific",1,,,,,,1,1,,
"PSFL","Empidonax difficilis","Pacific-slope Flycatcher","Pacific-slope Flycatcher","Same",1370,178348,,"Bird","Tyrannidae","Specific",1,,,,,1,1,1,1,1
"PUFI","Haemorhous purpureus","Purple Finch","Purple Finch","Same",1830,997803,,"Bird","Fringillidae","Specific",1,,"Genus changed from Carpodacus, definition of taxon consistent",,,1,1,1,1,1
"PUMA","Progne subis","Purple Martin","Purple Martin","Same",1491,178464,,"Bird","Hirundinidae","Specific",1,,,,,1,1,1,1,1
"RBGU","Larus delawarensis","Ring-billed Gull","Ring-billed Gull","Same",618,176830,,"Bird","Laridae","Specific",1,,,,,1,1,1,1,1
"RBME","Mergus serrator","Red-breasted Merganser","Red-breasted Merganser","Same",104,175187,,"Bird","Anatidae","Specific",1,,,,,1,1,1,1,1
"RBNU","Sitta canadensis","Red-breasted Nuthatch","Red-breasted Nuthatch","Same",1516,178784,,"Bird","Sittidae","Specific",1,,,,,1,1,1,1,1
"RBSA","Sphyrapicus ruber","Red-breasted Sapsucker","Red-breasted Sapsucker","Same",1006,178212,,"Bird","Picidae","Specific",1,,,,,1,1,1,1,1
"RCKI","Regulus calendula","Ruby-crowned Kinglet","Ruby-crowned Kinglet","Same",1588,179870,,"Bird","Regulidae","Specific",1,,,,,1,1,1,1,1
"RECR","Loxia curvirostra","Red Crossbill","Red Crossbill","Same",1839,179259,,"Bird","Fringillidae","Specific",1,,,,,1,1,1,1,1
"REDH","Aythya americana","Redhead","Redhead","Same",79,175125,175125,"Bird","Anatidae","Specific",1,,,,,,,1,,
"REKN","Calidris canutus","Red Knot","Red Knot","Same",520,176642,,"Bird","Scolopacidae","Specific",1,,,,,1,1,1,1,1
"REVI","Vireo olivaceus","Red-eyed Vireo","Red-eyed Vireo","Same",1423,179021,,"Bird","Vireonidae","Specific",1,,,,,1,1,1,1,1
"RHAU","Cerorhinca monocerata","Rhinoceros Auklet","Rhinoceros Auklet","Same",597,177023,,"Bird","Laridae","Specific",1,,,,,1,1,1,1,1
"RNDU","Aythya collaris","Ring-necked Duck","Ring-necked Duck","Same",81,175128,,"Bird","Anatidae","Specific",1,,,,,1,1,1,1,1
"RNEP","Phasianus colchicus","Ring-necked Pheasant","Ring-necked Pheasant","Same",150,175905,,"Bird","Phasianidae","Specific",1,,,,,1,1,1,1,1
"RNGR","Podiceps grisegena","Red-necked Grebe","Red-necked Grebe","Same",171,174479,,"Bird","Podicipedidae","Specific",1,,,,,1,1,1,1,1
"RNPH","Phalaropus lobatus","Red-necked Phalarope","Red-necked Phalarope","Same",569,176735,,"Bird","Scolopacidae","Specific",1,,,,,,,1,1,
"RNSA","Sphyrapicus nuchalis","Red-naped Sapsucker","Red-naped Sapsucker","Same",1004,178211,,"Bird","Picidae","Specific",1,,,,,1,1,1,1,1
"ROPI","Columba livia","Rock Pigeon","Rock Dove","Different",176,177071,,"Bird","Columbidae","Specific",1,,,,,1,1,1,1,1
"ROWR","Salpinctes obsoletus","Rock Wren","Rock Wren","Same",1521,178614,,"Bird","Certhiidae","Specific",1,,,,,1,1,1,1,1
"RRSH","Sphyrapicus nuchalis x ruber","Red-naped x Red-breasted Sapsucker Hybrid","Red-naped x Red-breasted Sapsucker Hybrid","Same",1200,,,"Bird","Picidae","Specific",1,,,,,,,1,,
"RTHA","Buteo jamaicensis","Red-tailed Hawk","Red-tailed Hawk","Same",869,175350,,"Bird","Accipitridae","Specific",1,,,,,1,1,1,1,1
"RTLO","Gavia stellata","Red-throated Loon","Red-throated Loon","Same",667,174474,,"Bird","Gaviidae","Specific",1,,,,,1,1,1,1,1
"RUDU","Oxyura jamaicensis","Ruddy Duck","Ruddy Duck","Same",106,175175,,"Bird","Anatidae","Specific",1,,,,,1,1,1,1,1
"RUGR","Bonasa umbellus","Ruffed Grouse","Ruffed Grouse","Same",152,175790,,"Bird","Phasianidae","Specific",1,,,,,1,1,1,1,1
"RUHU","Selasphorus rufus","Rufous Hummingbird","Rufous Hummingbird","Same",371,178040,,"Bird","Trochilidae","Specific",1,,,,,1,1,1,1,1
"RUTU","Arenaria interpres","Ruddy Turnstone","Ruddy Turnstone","Same",517,176571,,"Bird","Scolopacidae","Specific",1,,,,,1,1,1,1,1
"RWBL","Agelaius phoeniceus","Red-winged Blackbird","Red-winged Blackbird","Same",2031,179045,,"Bird","Fringillidae","Specific",1,,,,,1,1,1,1,1
