"Obs_year","Park_code","Obs_date_str","Species","Sci_name","Com_name","Taxon_family","Taxon_sort","Observer","Loc_description","Obs_notes","Incidental_obs_ID","DPL_code","DPL_date_str"
2020,"MORA","6/6/2020","MGWA","Geothlypis tolmiei","MacGillivray’s Warbler","Fringillidae",2076,"Kropp_Mikaela","Stevens Canyon",,4300,"A","04/27/2021 15:30"
2020,"MORA","7/12/2020","MOBL","Sialia currucoides","Mountain Bluebird","Muscicapidae",1635,"McMahon_Quinn","Sunrise",,4287,"A","04/27/2021 15:30"
2020,"MORA","7/16/2020","MOCH","Poecile gambeli","Mountain Chickadee","Paridae",1503,"Kropp_Mikaela","Mystic Lake",,4277,"A","04/27/2021 15:30"
2020,"MORA","6/2/2020","NOFL","Colaptes auratus","Northern Flicker","Picidae",1028,"Kropp_Mikaela","Nisqually",,4263,"A","04/27/2021 15:30"
2020,"MORA","6/18/2020","NOGO","Accipiter gentilis","Northern Goshawk","Accipitridae",836,"McMahon_Quinn","Stevens Canyon",,4253,"A","04/27/2021 15:30"
2020,"MORA","6/2/2020","NOPO","Glaucidium gnoma","Northern Pygmy-Owl","Strigidae",895,"McMahon_Quinn","Nisqually",,4256,"A","04/27/2021 15:30"
2020,"MORA","7/15/2020","OSFL","Contopus cooperi","Olive-sided Flycatcher","Tyrannidae",1346,"Kropp_Mikaela","Seattle Park",,4264,"A","04/27/2021 15:30"
2020,"MORA","6/2/2020","PAWR","Troglodytes pacificus","Pacific Wren","Certhiidae",1534,"McMahon_Quinn","Nisqually",,4282,"A","04/27/2021 15:30"
2020,"MORA","7/15/2020","PIGR","Pinicola enucleator","Pine Grosbeak","Fringillidae",1823,"McMahon_Quinn","Seattle Park",,4313,"A","04/27/2021 15:30"
2020,"MORA","6/17/2020","PISI","Spinus pinus","Pine Siskin","Fringillidae",1845,"Kropp_Mikaela","St. Andrew's Creek",,4316,"A","04/27/2021 15:30"
2020,"MORA","6/2/2020","PSFL","Empidonax difficilis","Pacific-slope Flycatcher","Tyrannidae",1370,"McMahon_Quinn","Nisqually",,4266,"A","04/27/2021 15:30"
2020,"MORA","6/12/2020","PUFI","Haemorhous purpureus","Purple Finch","Fringillidae",1830,"McMahon_Quinn","Nisqually House",,4314,"A","04/27/2021 15:30"
